phrases,mood_label
long day work,Sad
host party,Energetic
peaceful study,Calm
feel good road trip,Happy
lonely night,Sad
feeling,Calm
workout music,Energetic
ethereal,Calm
birthday,Happy
chore,Energetic
sleepy,Calm
long night,Calm
see soon,Happy
heartbreak,Sad
roadtrip,Happy
celebrate,Happy
pump,Energetic
feel like float,Calm
turnt,Energetic
meditation,Calm
sunday morning,Calm
feeling bless,Happy
feel top world,Happy
everything feel right today,Happy
feel empty,Sad
feel drain,Sad
sit still,Energetic
turn volume,Energetic
today feel chill,Calm
feel gentle,Calm
centre,Calm
enjoy quiet,Calm
high adrenaline,Energetic
feel alive,Energetic
one day,Sad
cloud nine,Energetic
pumped,Energetic
workout jam,Energetic
focus want focus,Calm
flow music,Calm
42,Happy
time sleep,Calm
sweet melody,Happy
yoga,Calm
go,Energetic
exam,Sad
graduate,Happy
go movie,Energetic
play basketball,Energetic
buy new car,Happy
wed party,Energetic
smile,Happy
cold shoulder,Sad
ice cream date,Happy
unseen scar,Sad
family game time,Happy
cold pillow night,Sad
miss call,Sad
new year vibe,Happy
firework display,Energetic
end year party,Energetic
surprise party,Energetic
summer festival,Happy
lose thought,Sad
heart piece,Sad
first date butterfly,Happy
win streak,Energetic
sundowner,Calm
beautiful life,Happy
bowling date,Energetic
good day,Happy
candlelit dinner,Calm
pyjama vibe,Calm
daydream,Happy
journal time,Calm
inner peace,Calm
still water,Calm
limit,Energetic
pregame hype,Energetic
rooftop party,Energetic
happy hour,Happy
lose love letter,Sad
empty promise,Sad
cold hearted,Sad
arcade vibe,Energetic
emotional rollercoaster,Sad
girl brunch,Happy
christmas eve,Happy
christmas carol,Happy
day,Calm
festive season,Happy
forgotten dream,Sad
grieve,Sad
bitter goodbye,Sad
fresh start,Calm
warmup,Calm
make,Happy
dancefloor,Energetic
babysitting,Calm
freeze shine,Happy
beast mode,Energetic
bird watch,Calm
monkmode,Calm
lock,Energetic
soul search,Calm
limitless,Energetic
wilding,Energetic
0 100,Energetic
cloud thought,Sad
stick head,Sad
lose memory,Sad
excite,Happy
numb inside,Sad
pillowtalk,Calm
pure joy,Happy
feel grateful,Happy
positive energy,Happy
ocean vibe,Calm
hangout,Happy
relaxed moment,Calm
slow morning,Calm
boy day,Energetic
game,Energetic
silent night,Sad
tear drop,Sad
alone,Sad
breakfast date,Happy
comedy night,Happy
stargaze,Calm
dead flower,Sad
never,Sad
bad hair day,Sad
walk rain,Sad
deep pain,Sad
love air,Happy
god,Happy
rainbow sky,Happy
midnight snack,Happy
fresh haircut,Happy
group trivia,Energetic
sunrise trail run,Energetic
ferry ride,Calm
chill poolside,Calm
swim session,Energetic
highschool crush,Happy
cocktail party,Happy
kid party,Energetic
worship time,Happy
pancake morning,Happy
barbeque night,Happy
long flight,Calm
prom night,Happy
picnic date,Happy
fight night,Energetic
library session,Calm
balcony view,Calm
love,Sad
night shift,Calm
get pay,Happy
bedtime story,Calm
leave read,Sad
match tattoo,Happy
airport goodbye,Sad
levelup,Energetic
handle business,Energetic
rush hour,Energetic
smiley face,Happy
rockstar,Energetic
life,Calm
bad day,Sad
magical day,Happy
sit home,Calm
alone,Sad
good old day,Happy
cheerleader,Energetic
shake,Energetic
strange effect,Happy
let u go party,Energetic
vacation,Happy
mourn,Sad
lullaby,Calm
football game day,Energetic
rain cuddle,Calm
gym,Happy
night drive,Happy
positive achievments,Happy
lazy day,Calm
playful,Energetic
moonlight gaze,Calm
lonley,Sad
boat ride,Calm
acoustic effect,Calm
cook,Energetic
hair cut,Happy
peaceful sound,Calm
soft piano,Calm
deep rest,Calm
push harder,Happy
go swimming,Energetic
cooking,Happy
try new restaurant,Happy
weekend,Happy
monday,Sad
mom phone call,Happy
turn 25,Sad
run errand,Calm
project week,Sad
make new friend,Calm
overthinking,Sad
anxiety,Sad
shopping,Energetic
new shoe,Happy
next year,Sad
playing domino,Happy
play chess,Happy
meeting love life,Energetic
sick day,Sad
go interview,Calm
mpesa notification,Happy
tonight night,Happy
,Sad
depressed,Sad
get period,Sad
need chill moment,Calm
heart full,Happy
hit gym,Energetic
feel grateful,Happy
throw party,Energetic
throw,Energetic
